"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","[TC-CM-001] Create Merchant full flow berhasil @positive @smoke","chromium","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","[TC-CM-004] Save Payment Network tanpa memilih Payment Network — harus muncul validation message @negative @regression","firefox","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","1","[TC-INC-001] Validasi menampilkan data Incoming Transaction @positive","firefox","2026-07-17","skipped","2026-07-17","Incoming Transaction Flow @regression","","",""
"","0","[TC-CM-005] Save User dengan Konfirmasi Password tidak cocok — harus muncul validation message @negative @regression","chromium","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","[TC-CM-002] Save merchant tanpa mengisi Nama Merchant — harus muncul validation message @negative @regression","firefox","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","[TC-INC-004] Validasi fitur Async Download (S3) data Incoming (Show All Downloads) @positive","firefox","2026-07-17","skipped","2026-07-17","Incoming Transaction Flow @regression","","",""
"","1","[TC-039] Input MID duplicate — harus muncul error MID sudah terdaftar @negative @regression","webkit","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","0","[TC-012] Tambah merchant dengan Full Plan berhasil @positive @smoke","webkit","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","0","[TC-013] Tambah merchant dengan POS Plan berhasil @positive @regression","chromium","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","1","Run 3 QRIS payment iterations","qris-payment","2026-07-17","skipped","2026-07-17","QRIS Payment Flow","","",""
"","1","bulk QR generate (template)","firefox","2026-07-17","skipped","2026-07-17","","","",""
"","1","[TC-OUT-003] Validasi fitur Async Download (S3) data Outgoing (User Flow) @positive","firefox","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
"","11","[TC-INC-002] Validasi filter data Incoming Transaction @positive","chromium","2026-07-17","skipped","2026-07-17","Incoming Transaction Flow @regression","","",""
"","0","[TC-039] Input MID duplicate — harus muncul error MID sudah terdaftar @negative @regression","chromium","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","0","Run 3 QRIS payment iterations","qris-payment-firefox","2026-07-17","skipped","2026-07-17","QRIS Payment Flow","","",""
"","0","[TC-INC-002] Validasi filter data Incoming Transaction @positive","firefox","2026-07-17","skipped","2026-07-17","Incoming Transaction Flow @regression","","",""
"","0","Instrument all download scenarios","firefox","2026-07-17","skipped","2026-07-17","Download Flow Instrumentation @diagnostic","","",""
"","9272","[TC-INC-003] Validasi fitur Async Download (S3) data Incoming (User Flow) @positive","chromium","2026-07-17","passed","2026-07-17","Incoming Transaction Flow @regression","","",""
"","0","Run 3 QRIS payment iterations","qris-payment-webkit","2026-07-17","skipped","2026-07-17","QRIS Payment Flow","","",""
"","0","[TC-039] Input MID duplicate — harus muncul error MID sudah terdaftar @negative @regression","firefox","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","0","[TC-INC-002] Validasi filter data Incoming Transaction @positive","webkit","2026-07-17","skipped","2026-07-17","Incoming Transaction Flow @regression","","",""
"","0","[TC-INC-004] Validasi fitur Async Download (S3) data Incoming (Show All Downloads) @positive","webkit","2026-07-17","skipped","2026-07-17","Incoming Transaction Flow @regression","","",""
"","0","[TC-CM-005] Save User dengan Konfirmasi Password tidak cocok — harus muncul validation message @negative @regression","firefox","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","Generate QR successfully on Android","webkit","2026-07-17","skipped","2026-07-17","QR Generate — Mobile Web","","",""
"","0","login (template)","firefox","2026-07-17","skipped","2026-07-17","","","",""
